"post_inventory_id","user_id","dc_name","sku_name","category","prev_inventory","post_transfer_inventory","forecasted_sales","ideal_invt_days","qty_ac_invt_id_days","qty_remains","pre_invt_days","post_invt_days","run_id","created_at","updated_at"
12268,78,"Kochi","SKU1000118","CANNED GOODS",3268,21484,44230,20,29003,-7519,2,15,184,"2024-10-26 10:09:32.574621+00","2024-10-26 10:09:32.574621+00"
12269,78,"Kochi","SKU1000119","CARBONATED DRINKS",5321,17160,26215,20,17190,-30,6,20,184,"2024-10-26 10:09:32.579685+00","2024-10-26 10:09:32.579685+00"
12270,78,"Kochi","SKU1000120","CARBONATED DRINKS",106,15938,39732,20,26054,-10116,0,12,184,"2024-10-26 10:09:32.594243+00","2024-10-26 10:09:32.594243+00"
12271,78,"Kochi","SKU1000121","CARBONATED DRINKS",26542,18637,14514,20,9517,9120,56,39,184,"2024-10-26 10:09:32.610822+00","2024-10-26 10:09:32.610822+00"
12272,78,"Kochi","SKU1000122","CARBONATED DRINKS",26584,11138,16985,20,11138,0,48,20,184,"2024-10-26 10:09:32.616921+00","2024-10-26 10:09:32.616921+00"
12273,78,"Kochi","SKU1000123","CARBONATED DRINKS",10673,17897,51057,20,33480,-15583,6,11,184,"2024-10-26 10:09:32.630497+00","2024-10-26 10:09:32.630497+00"
12274,78,"Kochi","SKU1000124","JUICES",8771,6990,10659,20,6990,0,25,20,184,"2024-10-26 10:09:32.641388+00","2024-10-26 10:09:32.641388+00"
12275,78,"Kochi","SKU1000125","JUICES",6225,6225,41724,20,27360,-21135,5,5,184,"2024-10-26 10:09:32.652908+00","2024-10-26 10:09:32.652908+00"
12276,78,"Kochi","SKU1000126","JUICES",8288,15979,28098,20,18425,-2446,9,17,184,"2024-10-26 10:09:32.66063+00","2024-10-26 10:09:32.66063+00"
12277,78,"Kochi","SKU1000127","JUICES",10426,9194,14021,20,9194,0,23,20,184,"2024-10-26 10:09:32.677847+00","2024-10-26 10:09:32.677847+00"
12278,78,"Kochi","SKU1000128","TEA & COFFEE",19466,24833,37871,20,24833,0,16,20,184,"2024-10-26 10:09:32.687978+00","2024-10-26 10:09:32.687978+00"
12279,78,"Kochi","SKU1000129","TEA & COFFEE",2538,2534,3865,20,2534,0,20,20,184,"2024-10-26 10:09:32.695979+00","2024-10-26 10:09:32.695979+00"
12280,78,"Kochi","SKU1000130","TEA & COFFEE",13046,10165,15501,20,10165,0,26,20,184,"2024-10-26 10:09:32.711881+00","2024-10-26 10:09:32.711881+00"
12281,78,"Kochi","SKU1000131","TEA & COFFEE",12086,11399,17383,20,11399,0,21,20,184,"2024-10-26 10:09:32.727791+00","2024-10-26 10:09:32.727791+00"
12282,78,"Kochi","SKU1000132","TEA & COFFEE",5545,9594,45342,20,29732,-20138,4,6,184,"2024-10-26 10:09:32.735861+00","2024-10-26 10:09:32.735861+00"
12283,78,"Kochi","SKU1000133","TEA & COFFEE",8666,24502,37365,20,24502,0,7,20,184,"2024-10-26 10:09:32.749622+00","2024-10-26 10:09:32.749622+00"
12284,78,"Kochi","SKU1000134","TEA & COFFEE",15822,15822,13466,20,8830,6992,36,36,184,"2024-10-26 10:09:32.762146+00","2024-10-26 10:09:32.762146+00"
12285,78,"Kochi","SKU1000135","TEA & COFFEE",6400,6400,45211,20,29647,-23247,4,4,184,"2024-10-26 10:09:32.776806+00","2024-10-26 10:09:32.776806+00"
12286,78,"Kochi","SKU1000136","ENERGY DRINKS",8146,15409,23499,20,15409,0,11,20,184,"2024-10-26 10:09:32.794426+00","2024-10-26 10:09:32.794426+00"
12287,78,"Kochi","SKU1000137","ENERGY DRINKS",5596,1092,1665,20,1092,0,103,20,184,"2024-10-26 10:09:32.809263+00","2024-10-26 10:09:32.809263+00"
12288,78,"Kochi","SKU1000138","ENERGY DRINKS",2557,7402,11288,20,7402,0,7,20,184,"2024-10-26 10:09:32.817256+00","2024-10-26 10:09:32.817256+00"
12289,78,"Kochi","SKU1000139","ENERGY DRINKS",5539,5539,28927,20,18969,-13430,6,6,184,"2024-10-26 10:09:32.826231+00","2024-10-26 10:09:32.826231+00"
12290,78,"Kochi","SKU1000140","ENERGY DRINKS",5867,5867,10991,20,7207,-1340,16,16,184,"2024-10-26 10:09:32.842702+00","2024-10-26 10:09:32.842702+00"
12291,78,"Kochi","SKU1000141","ENERGY DRINKS",3650,3650,4633,20,3038,612,24,24,184,"2024-10-26 10:09:32.850717+00","2024-10-26 10:09:32.850717+00"
12292,78,"Kochi","SKU1000142","BREAD, BISCUITS",10972,10972,27129,20,17790,-6818,12,12,184,"2024-10-26 10:09:32.860057+00","2024-10-26 10:09:32.860057+00"
12293,78,"Kochi","SKU1000143","BREAD, BISCUITS",11550,12348,18830,20,12348,0,19,20,184,"2024-10-26 10:09:32.868068+00","2024-10-26 10:09:32.868068+00"
12294,78,"Kochi","SKU1000144","BREAD, BISCUITS",7617,1955,2982,20,1955,0,78,20,184,"2024-10-26 10:09:32.880129+00","2024-10-26 10:09:32.880129+00"
